TCOA_Company,TCOA_Cabang,TCOA_Jenis_transaksi,TCOA_Traksaksi_Debit,TCOA_Transaksi_Credit,TCOA_Mutasi_Debit,TCOA_Mutasi_Credit,TCOA_CreateDate,TCOA_CreateUser,TCOA_CreateTIme,TCOA_ModifyUser,TCOA_ModifyDate,TCOA_ModifyTime
01,05,322,400100021,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,323,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,323,110100022,300100022,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,323,300300022,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,323,400100022,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,324,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,324,110100023,300100023,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,324,300300023,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,324,400100023,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,325,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,325,110100024,300100024,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,325,300300024,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,325,400100024,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,350,130100002,400200000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,350,250000004,300400000,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,350,300200000,110200000,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,351,130100002,400100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,351,250000004,300300000,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,351,300100000,110100000,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,352,130100002,400100001,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,352,250000004,300300001,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,352,300100001,110100001,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,353,130100002,400100002,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,353,250000004,300300002,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,353,300100002,110100002,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,354,130100002,400100003,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,354,250000004,300300003,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,354,300100003,110100003,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,355,130100002,400100004,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,355,250000004,300300004,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,355,300100004,110100004,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,356,130100002,400100005,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,356,250000004,300300005,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,356,300100005,110100005,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,357,130100002,400100006,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,357,250000004,300300006,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,357,300100006,110100006,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,358,130100002,400100007,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,358,250000004,300300007,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,358,300100007,110100007,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,359,130100002,400100008,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,359,250000004,300300008,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,359,300100008,110100008,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,360,130100002,400100009,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,360,250000004,300300009,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,360,300100009,110100009,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,361,130100002,400100010,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,361,250000004,300300010,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,361,300100010,110100010,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
